Mint Finance Panel,Elite Money Panel,Mills Commercial Finance Panel,Lender,Product Type,Min Loan,Max Loan,Min Term,Max Term,Company Type,PG Required,Homeowner Required,Debenture Required,Other Security,Min Trading Months,Min Monthly Turnover,Existing Lending Required,Additional Criteria,Open Banking,Bank Statements,Filed Accounts,Management Accounts,Aged Debtor,Aged Creditor,Other Documents,Location,Product USP,Submission
FALSE,TRUE,,365 Finance,Merchant Cash Advance,10000,500000,0,10,"Ltd, LLP, Sole Traders",Yes,No,N/A,N/A,6,10000,No,Must process payments through a card machine and/or online payment system,Available,6 months,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Flexible as repayments based on a Sweep % of monthly card / online sales, Factor Rates from 1.2",https://365businessfinance.my.site.com/partner/login
TRUE,FALSE,,Bibby,Asset Finance,,,,,,,,,,,,,,,,,,,,,,,
TRUE,FALSE,,Bibby,Invoice Finance,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,,Bizcap,Unsecured Loan,5000,150000,3,10,"Ltd, LLP",Yes,No,N/A,N/A,4,12000,No,"Construction and transportation businesses require minimum 1 year trading and Â£30000 monthly revenue for , Businesses with defaults and judgements are accepted",Preferred,6 months,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Daily or weekly repayments, Early payment discounts available, Options on Factor Rates / Commission",https://applications.bizcap.co.uk/?partnerid=e13077f1-8e0c-4c36-85ce-197da59be64f
TRUE,TRUE,,Bizcap,Unsecured Loan,150001,500000,3,10,"Ltd, LLP",Yes,No,N/A,N/A,4,12000,No,"Construction and transportation businesses require minimum 1 year trading and Â£30000 monthly revenue for , Businesses with defaults and judgements are accepted",Preferred,6 months,1 Year,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Daily or weekly repayments, Early payment discounts available, Options on Factor Rates / Commission",https://applications.bizcap.co.uk/?partnerid=e13077f1-8e0c-4c36-85ce-197da59be64f
TRUE,TRUE,,Bizcap,Asset Finance,30000,150000,3,12,"Ltd, LLP",Yes,Yes,N/A,N/A,5,12000,No,"Construction and transportation businesses require minimum 1 year trading and Â£30000 monthly revenue for , Businesses with defaults and judgements are accepted",Preferred,6 months,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Daily or weekly repayments, Early payment discounts available",https://applications.bizcap.co.uk/?partnerid=e13077f1-8e0c-4c36-85ce-197da59be64f
TRUE,TRUE,,Bizcap,Asset Finance,150001,750000,3,12,"Ltd, LLP",Yes,Yes,N/A,N/A,5,12000,No,"Construction and transportation businesses require minimum 1 year trading and Â£30000 monthly revenue for , Businesses with defaults and judgements are accepted",Preferred,6 months,1 Year,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Daily or weekly repayments, Early payment discounts available",https://applications.bizcap.co.uk/?partnerid=e13077f1-8e0c-4c36-85ce-197da59be64f
TRUE,TRUE,,Capify,Unsecured Loan,10000,250000,7,18,Ltd,Yes,No,N/A,N/A,6,10000,No,Need at least Â£500 headroom for end of day balances,Available,6 months,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales","Happy to lend with existing Debenture, Factor Rates from 1.2, Same day funding possible, Daily or Weekly Repayments",proposals@capify.co.uk
TRUE,TRUE,,Capify,Asset Finance,50000,1000000,6,24,Ltd,Yes,Yes,N/A,N/A,6,10000,No,Need at least Â£500 headroom for end of day balances,Available,6 months,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales","Happy to lend with existing Debenture, Factor Rates from 1.12, Funding within 48 hours, Daily or Weekly Repayments",proposals@capify.co.uk
TRUE,TRUE,,Capify,Unsecured Loan,5000,250000,3,6,Ltd,Yes,No,N/A,N/A,3,10000,No,Need at least Â£500 headroom for end of day balances,Available,3 months,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales","Can look at poor credit previous insolvencies CCJ's & Defaults, Factor Rates from 1.35, Same Day Funding, Daily or Weekly Repayments",proposals@capify.co.uk
